"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
2.376417632E0	8.999999762E-1	2.142000008E1	-4.013999939E1	4.550654848E1
2.386415165E0	7.199999690E-1	2.177999878E1	-4.002000046E1	4.556848893E1
2.396412731E0	5.399999619E-1	2.189999962E1	-3.989999771E1	4.551825349E1
2.406410297E0	7.799999714E-1	2.213999939E1	-4.002000046E1	4.574263230E1
2.416407863E0	6.599999666E-1	2.226000023E1	-3.989999771E1	4.569412465E1
2.426405429E0	8.399999738E-1	2.219999886E1	-3.977999878E1	4.556307553E1
2.436403295E0	1.019999981E0	2.219999886E1	-3.965999985E1	4.546202742E1
2.446400861E0	7.199999690E-1	2.261999893E1	-3.995999908E1	4.592367884E1
2.456398394E0	3.599999845E-1	2.261999893E1	-4.043999863E1	4.633775394E1
2.466395960E0	3.599999845E-1	2.268000031E1	-4.043999863E1	4.636707348E1
2.476393493E0	5.999999866E-2	2.237999916E1	-4.079999924E1	4.653501800E1
2.486391059E0	1.199999973E-1	2.202000046E1	-4.079999924E1	4.636307537E1
2.496388625E0	4.799999893E-1	2.171999931E1	-4.031999969E1	4.580055835E1
2.506386191E0	5.399999619E-1	2.135999870E1	-4.025999832E1	4.557859815E1
2.516383757E0	5.399999619E-1	2.135999870E1	-4.007999802E1	4.541968060E1
2.526381290E0	4.199999869E-1	2.142000008E1	-3.989999771E1	4.528799643E1
2.536378856E0	1.799999923E-1	2.153999901E1	-3.977999878E1	4.523773049E1
2.546376389E0	3.599999845E-1	2.160000038E1	-3.936000061E1	4.489876685E1
2.556373955E0	1.199999973E-1	2.147999954E1	-3.954000092E1	4.499796054E1
2.566371521E0	-5.999999866E-2	2.153999901E1	-3.965999985E1	4.513192601E1
2.576369087E0	-5.999999866E-2	2.160000038E1	-4.013999939E1	4.558270689E1
2.586366653E0	5.999999866E-2	2.165999985E1	-4.031999969E1	4.576965773E1
2.596364253E0	6.599999666E-1	2.184000015E1	-4.002000046E1	4.559628980E1
2.606361819E0	4.199999869E-1	2.177999878E1	-3.977999878E1	4.535408526E1
2.616359352E0	5.399999619E-1	2.207999992E1	-3.959999847E1	4.534289223E1
2.626356918E0	3.599999845E-1	2.202000046E1	-3.965999985E1	4.536436496E1
2.636354484E0	-1.199999973E-1	2.231999969E1	-3.971999741E1	4.556177104E1
2.646352050E0	4.199999869E-1	2.213999939E1	-3.971999741E1	4.547564367E1
2.656349616E0	1.799999923E-1	2.171999931E1	-4.020000076E1	4.569278752E1
2.666347182E0	-2.399999946E-1	2.160000038E1	-4.025999832E1	4.568900394E1
2.676344748E0	5.999999866E-2	2.142000008E1	-4.013999939E1	4.549768735E1
2.686342348E0	0.000000000E0	2.147999954E1	-3.977999878E1	4.520883413E1
2.696339914E0	7.199999690E-1	2.142000008E1	-3.911999893E1	4.460615563E1
2.706337447E0	1.139999986E0	2.142000008E1	-3.923999786E1	4.472016811E1
2.716335013E0	1.500000000E0	2.105999947E1	-3.965999985E1	4.492982490E1
2.726332546E0	1.139999986E0	2.105999947E1	-4.020000076E1	4.539673159E1
2.736330112E0	7.199999690E-1	2.129999924E1	-4.043999863E1	4.571216311E1
2.746327678E0	4.799999893E-1	2.129999924E1	-4.007999802E1	4.539082075E1
2.756325244E0	2.999999821E-1	2.153999901E1	-3.971999741E1	4.518561443E1
2.766322810E0	7.199999690E-1	2.153999901E1	-3.911999893E1	4.466390348E1
2.776320376E0	5.999999642E-1	2.135999870E1	-3.900000000E1	4.447032206E1
2.786317942E0	7.799999714E-1	2.135999870E1	-3.923999786E1	4.468372609E1
2.796315475E0	2.399999946E-1	2.129999924E1	-3.971999741E1	4.507134080E1
2.806313041E0	1.799999923E-1	2.118000031E1	-3.971999741E1	4.501447553E1
2.816310574E0	7.199999690E-1	2.111999893E1	-3.954000092E1	4.483284987E1
2.826308140E0	4.199999869E-1	2.118000031E1	-3.971999741E1	4.501607498E1
2.836307006E0	4.199999869E-1	2.189999962E1	-4.007999802E1	4.567485768E1
2.846304606E0	2.999999821E-1	2.231999969E1	-4.091999817E1	4.661243006E1
2.856302172E0	-4.199999869E-1	2.285999870E1	-4.181999969E1	4.766202173E1
2.866299705E0	-3.599999845E-1	2.334000015E1	-4.241999817E1	4.841839993E1
2.876297271E0	-1.799999923E-1	2.297999954E1	-4.218000031E1	4.803400051E1
2.886294804E0	-6.599999666E-1	2.303999901E1	-4.211999893E1	4.801428396E1
2.896292337E0	-6.599999666E-1	2.310000038E1	-4.205999756E1	4.799050961E1
2.906289903E0	-8.999999762E-1	2.315999985E1	-4.205999756E1	4.802331712E1
2.916287469E0	-1.139999986E0	2.315999985E1	-4.259999847E1	4.850201092E1
2.926285035E0	-9.599999785E-1	2.334000015E1	-4.254000092E1	4.853173070E1
2.936294035E0	-8.399999738E-1	2.334000015E1	-4.265999985E1	4.863472827E1
2.946291601E0	-2.399999946E-1	2.261999893E1	-4.200000000E1	4.770452758E1
2.956289167E0	-3.599999845E-1	2.268000031E1	-4.181999969E1	4.757545994E1
2.966286733E0	-2.999999821E-1	2.261999893E1	-4.193999863E1	4.765204966E1
2.976284266E0	-5.999999642E-1	2.237999916E1	-4.170000076E1	4.732984709E1
2.986281799E0	-1.379999995E0	2.285999870E1	-4.205999756E1	4.789078549E1
2.996279365E0	-1.259999990E0	2.303999901E1	-4.181999969E1	4.776339109E1
3.006276931E0	-1.019999981E0	2.285999870E1	-4.109999847E1	4.704072507E1
3.016274531E0	-7.799999714E-1	2.292000008E1	-4.127999878E1	4.722259102E1
3.026272131E0	-2.999999821E-1	2.292000008E1	-4.104000092E1	4.700742578E1
3.036269597E0	-3.599999845E-1	2.285999870E1	-4.115999985E1	4.708348679E1
