"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
4.161067440E-1	-7.182824612E-2	-8.619388938E-2	9.845257759E0	9.845897066E0
4.181036770E-1	-6.703969836E-2	-8.858817071E-2	9.854835510E0	9.855461690E0
4.201050100E-1	-7.422251999E-2	-9.337671846E-2	9.845257759E0	9.845980324E0
4.221063430E-1	-6.464541703E-2	-9.337671846E-2	9.840469360E0	9.841124706E0
4.241077090E-1	-6.703969836E-2	-8.379961550E-2	9.857229233E0	9.857813391E0
4.261087750E-1	-8.379961550E-2	-8.140534163E-2	9.852440834E0	9.853133491E0
4.281098080E-1	-7.901106775E-2	-8.619388938E-2	9.850046158E0	9.850740147E0
4.301113740E-1	-8.379961550E-2	-9.337671846E-2	9.852440834E0	9.853239669E0
4.321073400E-1	-7.901106775E-2	-8.619388938E-2	9.842864037E0	9.843558532E0
4.341086730E-1	-6.703969836E-2	-6.703969836E-2	9.847652435E0	9.848108810E0
4.361100390E-1	-6.943397224E-2	-7.422251999E-2	9.847652435E0	9.848176915E0
4.381113720E-1	-7.182824612E-2	-8.140534163E-2	9.857229233E0	9.857827056E0
4.401123380E-1	-7.182824612E-2	-8.379961550E-2	9.859623909E0	9.860241645E0
4.421137040E-1	-6.943397224E-2	-7.422251999E-2	9.864412308E0	9.864935896E0
4.441125040E-1	-6.464541703E-2	-7.182824612E-2	9.854835510E0	9.855309293E0
4.461138370E-1	-6.943397224E-2	-7.901106775E-2	9.852440834E0	9.853002294E0
4.481151700E-1	-5.506832153E-2	-8.379961550E-2	9.835680962E0	9.836192092E0
4.501165030E-1	-4.788549617E-2	-7.901106775E-2	9.835680962E0	9.836114871E0
4.521122690E-1	-6.703969836E-2	-7.182824612E-2	9.847652435E0	9.848142571E0
4.541136350E-1	-7.182824612E-2	-8.379961550E-2	9.845257759E0	9.845876397E0
4.561091350E-1	-7.901106775E-2	-8.619388938E-2	9.847652435E0	9.848346593E0
4.581104680E-1	-6.464541703E-2	-8.140534163E-2	9.850046158E0	9.850594661E0
4.601121340E-1	-6.703969836E-2	-8.858817071E-2	9.859623909E0	9.860249784E0
4.621134670E-1	-7.901106775E-2	-8.379961550E-2	9.862017632E0	9.862690145E0
