"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.521723890E-1	1.915419847E-2	-1.484450400E-1	9.799766541E0	9.800909502E0
5.541737550E-1	1.197137404E-2	-1.412622184E-1	9.809344292E0	9.810368686E0
5.561750880E-1	9.577099234E-3	-1.460507661E-1	9.806949615E0	9.808041767E0
5.581764210E-1	1.915419847E-2	-1.436564922E-1	9.816526413E0	9.817596187E0
5.601777870E-1	4.788549617E-3	-1.436564922E-1	9.794978142E0	9.796032713E0
5.621791200E-1	4.788549617E-3	-1.412622184E-1	9.799766541E0	9.800785795E0
5.641804530E-1	1.915419847E-2	-1.484450400E-1	9.799766541E0	9.800909502E0
5.661818190E-1	7.182824425E-3	-1.436564922E-1	9.797372818E0	9.798428594E0
5.681831520E-1	9.577099234E-3	-1.484450400E-1	9.792584419E0	9.793714171E0
5.701844850E-1	7.182824425E-3	-1.412622184E-1	9.811738014E0	9.812757485E0
5.721858510E-1	9.577099234E-3	-1.532335877E-1	9.797372818E0	9.798575733E0
5.741903170E-1	9.577099234E-3	-1.556278616E-1	9.794978142E0	9.796219095E0
5.761916500E-1	1.675992459E-2	-1.508393139E-1	9.794978142E0	9.796153847E0
5.781905830E-1	1.197137404E-2	-1.364736706E-1	9.802161217E0	9.803118529E0
5.801919160E-1	1.436564885E-2	-1.316851079E-1	9.802161217E0	9.803056251E0
5.821932490E-1	2.873129770E-2	-1.436564922E-1	9.818921089E0	9.820013953E0
5.841945150E-1	2.873129770E-2	-1.436564922E-1	9.799766541E0	9.800861540E0
5.861958480E-1	2.154847234E-2	-1.412622184E-1	9.799766541E0	9.800808314E0
5.881971810E-1	1.675992459E-2	-1.436564922E-1	9.797372818E0	9.798440295E0
5.901985470E-1	1.436564885E-2	-1.340793967E-1	9.780612946E0	9.781542478E0
5.921998800E-1	1.915419847E-2	-1.460507661E-1	9.792584419E0	9.793692221E0
5.942009800E-1	1.436564885E-2	-1.436564922E-1	9.809344292E0	9.810406668E0
5.962023130E-1	2.154847234E-2	-1.460507661E-1	9.809344292E0	9.810455168E0
5.982034460E-1	1.197137404E-2	-1.532335877E-1	9.804554939E0	9.805759604E0
6.002047790E-1	4.788549617E-3	-1.580221355E-1	9.804554939E0	9.805829464E0
6.022063790E-1	9.577099234E-3	-1.484450400E-1	9.799766541E0	9.800895464E0
6.042077120E-1	1.436564885E-2	-1.532335877E-1	9.809344292E0	9.810551582E0
6.062090780E-1	1.675992459E-2	-1.484450400E-1	9.806949615E0	9.808087356E0
6.082104110E-1	1.915419847E-2	-1.388679445E-1	9.797372818E0	9.798375647E0
6.102117440E-1	1.675992459E-2	-1.484450400E-1	9.794978142E0	9.796117273E0
6.122131100E-1	1.197137404E-2	-1.532335877E-1	9.802161217E0	9.803366175E0
